Country,Revenue,NumOrders,NumCustomers
United Kingdom,7308391.5540000005,16646,3920
Netherlands,285446.34,94,9
EIRE,265545.9,260,3
Germany,228867.14,457,94
France,209024.05,389,87
Australia,138521.31,57,9
Spain,61577.11,90,30
Switzerland,56443.95,51,21
Belgium,41196.34,98,25
Sweden,38378.33,36,8
Japan,37416.369999999995,19,8
Norway,36165.44,36,10
Portugal,33439.89,57,19
Finland,22546.08,41,12
Singapore,21279.29,7,1
Channel Islands,20450.44,26,9
Denmark,18955.34,18,9
Italy,17483.24,38,14
Cyprus,13590.38,16,8
Austria,10198.68,17,11
Poland,7334.65,19,6
Israel,7221.69,5,3
Greece,4760.52,5,4
Iceland,4310.0,7,1
Canada,3666.38,6,4
USA,3580.39,5,4
Malta,2725.59,5,2
Unspecified,2667.07,8,4
United Arab Emirates,1902.28,3,2
Lebanon,1693.88,1,1
Lithuania,1661.06,4,1
European Community,1300.25,4,1
Brazil,1143.6,1,1
RSA,1002.3100000000001,1,1
Czech Republic,826.74,2,1
Bahrain,548.4,2,2
Saudi Arabia,145.92,1,1
