Product,TotalQuantity,Revenue,NumOrders,NumCustomers
"PAPER CRAFT , LITTLE BIRDIE",80995,168469.6,1,1
REGENCY CAKESTAND 3 TIER,12402,142592.94999999998,1703,881
WHITE HANGING HEART T-LIGHT HOLDER,36725,100448.15000000001,1971,856
JUMBO BAG RED RETROSPOT,46181,85220.78,1600,635
MEDIUM CERAMIC TOP STORAGE JAR,77916,81416.73000000001,195,138
POSTAGE,3120,77803.96,1099,331
PARTY BUNTING,15291,68844.33,1379,708
ASSORTED COLOUR BIRD ORNAMENT,35362,56580.34,1375,678
Manual,7173,53779.93,253,197
RABBIT NIGHT LIGHT,27202,51346.2,801,450
CHILLI LIGHTS,9650,46286.51,519,205
PAPER CHAIN KIT 50'S CHRISTMAS,15617,42660.83,980,613
PICNIC BASKET WICKER 60 PIECES,61,39619.5,2,1
BLACK RECORD COVER FRAME,11406,39064.55,313,140
JUMBO BAG PINK POLKADOT,20165,37289.590000000004,871,372
DOORMAT KEEP CALM AND COME IN,5342,35913.85,648,378
SPOTTY BUNTING,7639,35539.25,1003,571
WOOD BLACK BOARD ANT WHITE FINISH,5921,34478.01,604,285
SET OF 3 CAKE TINS PANTRY DESIGN,7020,33347.8,1146,640
JAM MAKING SET WITH JARS,8151,32662.97,878,573
JUMBO BAG STRAWBERRY,16807,30644.2,654,315
VICTORIAN GLASS HANGING T-LIGHT,22433,28776.51,815,403
HEART OF WICKER LARGE,9591,28520.95,801,485
HEART OF WICKER SMALL,16775,28228.64,961,573
LUNCH BAG RED RETROSPOT,17697,28048.45,1288,532
SET OF 3 REGENCY CAKE TINS,5856,26625.68,718,472
JUMBO BAG APPLES,13887,26451.260000000002,718,344
ALARM CLOCK BAKELIKE RED,7221,25925.2,877,388
PAPER CHAIN KIT VINTAGE CHRISTMAS,9433,25669.27,697,470
DOORMAT RED RETROSPOT,3901,25397.85,576,329
GIN + TONIC DIET METAL SIGN,11519,24988.98,655,330
ROSES REGENCY TEACUP AND SAUCER,9132,24865.600000000002,783,423
SPACEBOY LUNCH BOX,13919,24694.59,704,322
HOT WATER BOTTLE KEEP CALM,5338,24426.300000000003,719,474
NATURAL SLATE HEART CHALKBOARD,8480,24245.52,967,587
JUMBO BAG ALPHABET,12540,24175.0,752,396
PLEASE ONE PERSON METAL SIGN,11963,23930.920000000002,694,361
RED  HARMONICA IN BOX,20975,23793.93,561,349
DOORMAT UNION FLAG,3625,23697.99,516,313
JUMBO  BAG BAROQUE BLACK WHITE,12793,23675.04,649,306
CHOCOLATE HOT WATER BOTTLE,5160,23624.24,700,382
POPCORN HOLDER,30931,23427.71,632,295
REGENCY TEAPOT ROSES,2666,23073.32,354,248
BAKING SET 9 PIECE RETROSPOT,4797,23007.55,854,581
DOORMAT NEW ENGLAND,3721,22968.25,531,314
CREAM HEART CARD HOLDER,8195,22715.57,452,274
VINTAGE UNION JACK MEMOBOARD,3255,22709.13,205,139
RED HANGING HEART T-LIGHT HOLDER,7759,22624.690000000002,679,385
ROUND SNACK BOXES SET OF4 WOODLAND,8100,22175.52,595,281
SET OF TEA COFFEE SUGAR TINS PANTRY,4663,22133.83,385,275
JUMBO STORAGE BAG SUKI,11516,21790.95,774,333
DOORMAT FAIRY CAKE,3429,21187.69,241,143
JAM MAKING SET PRINTED,15055,21170.75,868,537
JUMBO BAG VINTAGE LEAF,10716,20963.93,772,377
VINTAGE UNION JACK BUNTING,2540,20962.16,391,267
ALARM CLOCK BAKELIKE GREEN,5641,20880.4,789,322
RECIPE BOX PANTRY YELLOW DESIGN,7373,20859.27,828,471
EDWARDIAN PARASOL NATURAL,3826,20696.71,378,184
JUMBO BAG VINTAGE DOILY,10636,20674.68,621,363
CREAM SWEETHEART MINI CHEST,1705,20562.92,445,289
SET OF 6 SPICE TINS PANTRY DESIGN,5372,20530.0,653,393
RETROSPOT TEA SET CERAMIC 11 PC,4248,20470.780000000002,823,488
COOK WITH WINE METAL SIGN,10209,20315.33,602,287
JUMBO SHOPPER VINTAGE RED PAISLEY,10518,20174.23,790,375
DOLLY GIRL LUNCH BOX,11336,20129.44,616,287
SCOTTIE DOG HOT WATER BOTTLE,4259,20104.350000000002,656,425
WOODEN PICTURE FRAME WHITE FINISH,8276,20001.65,876,410
DOORMAT HEARTS,3271,19948.81,480,286
RED TOADSTOOL LED NIGHT LIGHT,12871,19844.91,522,266
LUNCH BOX I LOVE LONDON,11094,19353.219999999998,504,213
DOORMAT FANCY FONT HOME SWEET HOME,3088,19157.02,397,203
JUMBO BAG OWLS,10466,19076.92,411,207
PAPER BUNTING RETROSPOT,6879,18791.890000000003,567,325
ALARM CLOCK BAKELIKE PINK,5074,18569.09,613,291
JUMBO BAG PINK VINTAGE PAISLEY,9889,18429.98,602,308
LUNCH BAG APPLE DESIGN,11565,18278.25,866,401
LUNCH BAG  BLACK SKULL.,11291,18024.55,1052,458
RED RETROSPOT CAKE STAND,1809,17929.75,421,260
GREEN REGENCY TEACUP AND SAUCER,6430,17806.34,691,387
JUMBO BAG 50'S CHRISTMAS,8954,17679.72,586,391
WOODEN FRAME ANTIQUE WHITE,6282,17625.07,811,392
ROUND SNACK BOXES SET OF 4 FRUITS,6481,17604.99,458,227
ROTATING SILVER ANGELS T-LIGHT HLDR,7907,17592.52,305,192
GUMBALL COAT RACK,7688,17580.350000000002,570,262
HOMEMADE JAM SCENTED CANDLES,12092,17521.6,518,429
FAIRY CAKE FLANNEL ASSORTED COLOUR,10082,17304.57,192,160
LUNCH BAG CARS BLUE,10820,17265.68,966,479
GROW A FLYTRAP OR SUNFLOWER IN TIN,15940,17226.2,239,167
JUMBO BAG DOILEY PATTERNS,8737,16741.260000000002,454,299
COLOUR GLASS. STAR T-LIGHT HOLDER,5655,16570.29,221,145
SET/5 RED RETROSPOT LID GLASS BOWLS,5882,16569.58,763,356
PACK OF 72 RETROSPOT CAKE CASES,33693,16394.53,1029,635
LUNCH BAG PINK POLKADOT,10254,16349.5,931,444
HAND WARMER OWL DESIGN,8115,16237.630000000001,572,375
ASSORTED COLOURS SILK FAN,21876,16044.44,324,194
MINI PAINT SET VINTAGE,26076,16039.240000000002,325,213
LUNCH BAG SPACEBOY DESIGN,9912,15881.199999999999,988,490
RETROSPOT HEART HOT WATER BOTTLE,3335,15871.73,533,371
HOME BUILDING BLOCK WORD,2654,15630.960000000001,691,360
HAND OVER THE CHOCOLATE   SIGN,8164,15539.11,590,270
JUMBO BAG WOODLAND ANIMALS,8187,15511.6,492,248
HOT WATER BOTTLE TEA AND SYMPATHY,3736,15415.22,514,325
LUNCH BAG SUKI DESIGN,9601,15384.05,899,399
JUMBO BAG SPACEBOY DESIGN,8236,15331.02,477,247
EDWARDIAN PARASOL BLACK,2779,15218.67,291,142
ANTIQUE SILVER T-LIGHT GLASS,12973,15206.42,534,348
6 RIBBONS RUSTIC CHARM,8605,14988.589999999998,726,413
IVORY KITCHEN SCALES,1783,14788.33,620,376
PINK REGENCY TEACUP AND SAUCER,5343,14769.49,556,319
WOOD 2 DRAWER CABINET WHITE FINISH,2341,14689.87,509,241
JUMBO BAG SCANDINAVIAN BLUE PAISLEY,7757,14632.970000000001,451,232
LUNCH BAG WOODLAND,9115,14537.11,820,372
SET OF 4 PANTRY JELLY MOULDS,11792,14180.17,866,431
HOT WATER BOTTLE I AM SO POORLY,2972,13847.28,505,316
SMALL POPCORN HOLDER,18252,13798.72,403,228
CHILDRENS CUTLERY POLKADOT PINK,3530,13796.6,323,208
WORLD WAR 2 GLIDERS ASSTD DESIGNS,54415,13586.249999999998,472,307
DOORMAT ENGLISH ROSE,1975,13470.95,356,227
PAPER CHAIN KIT EMPIRE,4893,13435.150000000001,374,277
RED WOOLLY HOTTIE WHITE HEART.,3707,13430.51,321,228
BREAD BIN DINER STYLE IVORY,847,13131.89,341,214
LOVE HOT WATER BOTTLE,2352,13115.400000000001,449,316
SET 2 TEA TOWELS I LOVE LONDON,4580,13068.2,368,194
JUMBO BAG PEARS,6733,13043.24,470,262
BOX OF VINTAGE ALPHABET BLOCKS,1295,13035.66,231,174
SET/4 WHITE RETRO STORAGE CUBES,357,13007.150000000001,106,79
VINTAGE CHRISTMAS BUNTING,2755,12994.77,359,254
