CustomerID,Recency,Frequency,Monetary,AvgOrderValue,FirstPurchase,LastPurchase,TotalItems,Country,Tenure,R_Score,F_Score,M_Score,Segment
12346.0,326,1,77183.6,77183.6,2011-01-18 10:01:00,2011-01-18 10:01:00,74215,United Kingdom,0,1,1,5,Hibernating
12347.0,2,7,4310.0,23.681318681318682,2010-12-07 14:57:00,2011-12-07 15:52:00,2458,Iceland,365,5,5,5,Champions
12348.0,75,4,1797.24,57.97548387096774,2010-12-16 19:09:00,2011-09-25 13:13:00,2341,Finland,282,2,4,4,At Risk
12349.0,19,1,1757.55,24.076027397260273,2011-11-21 09:51:00,2011-11-21 09:51:00,631,Italy,0,4,1,4,Potential Loyalists
12350.0,310,1,334.4,19.670588235294115,2011-02-02 16:01:00,2011-02-02 16:01:00,197,Norway,0,1,1,2,Lost
12352.0,36,8,2506.04,29.482823529411764,2011-02-16 12:33:00,2011-11-03 14:37:00,536,Norway,260,3,5,5,Promising
12353.0,204,1,89.0,22.25,2011-05-19 17:47:00,2011-05-19 17:47:00,20,Bahrain,0,1,1,1,Lost
12354.0,232,1,1079.4,18.610344827586207,2011-04-21 13:11:00,2011-04-21 13:11:00,530,Spain,0,1,1,4,Hibernating
12355.0,214,1,459.4,35.33846153846154,2011-05-09 13:49:00,2011-05-09 13:49:00,240,Bahrain,0,1,1,2,Lost
12356.0,23,3,2811.43,47.65135593220339,2011-01-18 09:50:00,2011-11-17 08:40:00,1591,Portugal,302,4,3,5,Loyal Customers
12357.0,7,1,6207.67,47.38679389312977,2010-12-04 00:00:00,2011-12-03 00:00:00,2708,Switzerland,364,5,1,5,Potential Loyalists
12358.0,2,2,1168.06,61.47684210526315,2011-07-12 10:04:00,2011-12-08 10:26:00,248,Austria,149,5,2,4,Potential Loyalists
12359.0,58,4,6372.58,25.695887096774193,2011-01-12 12:43:00,2011-10-13 12:47:00,1622,Cyprus,274,3,4,5,Promising
12360.0,52,3,2662.06,20.63612403100775,2011-05-23 09:43:00,2011-10-18 15:22:00,1165,Austria,148,3,3,5,Promising
12361.0,287,1,189.9,18.990000000000002,2011-02-25 13:51:00,2011-02-25 13:51:00,91,Belgium,0,1,1,1,Lost
